School ID,School Name,District ID,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,County
1131,Armstrong Middle School,347,Acadia Parish School Board,LA,Rayne,70578,700 Martin Luther King Dr,,[6-8],,Y,,,,,,,,361,,351,0,,53785,0,1260,,45549,0,1063,,,173,173,,,,,,,,,LA,53785,310.895953757,45549,263.289017341,LA@1131@347,,SY16-17,,351,0.977109638,Middle,,,,,,,,Acadia Parish
1132,Branch Elementary School,347,Acadia Parish School Board,LA,Branch,70516,PO Box 450,,[PK K 1-8],,Y,,,,,,,,295,,287,0,,38839,73,1120,,10324,15,263,,,173,173,,,,,,,,,LA,38912,224.924855491,10339,59.763005780,LA@1132@347,,SY16-17,,287,0.971971271,Other,,,,,,,,Acadia Parish
1133,Central Rayne Kindergarten School,347,Acadia Parish School Board,LA,Rayne,70578,507 N Polk St,,[PK K],,Y,,,,,,,,209,,203,0,,30927,0,713,,24852,0,573,,,173,172,,,,,,,,,LA,30927,179.808139535,24852,143.653179191,LA@1133@347,,SY16-17,,203,0.977465234,Primary,,,,,,,,Acadia Parish
1134,Church Point Elementary School,347,Acadia Parish School Board,LA,Church Point,70525,415 E Lougarre St,,[PK K 1-5],,Y,,,,,,,,650,,632,0,,97597,0,2276,,66721,0,1538,,,173,173,,,,,,,,,LA,97597,564.144508671,66721,385.670520231,LA@1134@347,,SY16-17,,632,0.977211058,Primary,,,,,,,,Acadia Parish
1135,Church Point High School,347,Acadia Parish School Board,LA,Church Point,70525,305 E Lougarre St,,[8-12],,Y,,,,,,,,517,,503,0,,40413,0,952,,24219,0,554,,,173,173,,,,,,,,,LA,40413,233.601156069,24219,139.994219653,LA@1135@347,,SY16-17,,503,0.976985374,High,,,,,,,,Acadia Parish
1136,Church Point Middle School,347,Acadia Parish School Board,LA,Church Point,70525,340 Martin Luther King Dr,,[6-8],,Y,,,,,,,,261,,254,0,,37961,0,888,,33395,0,767,,,173,173,,,,,,,,,LA,37961,219.427745665,33395,193.034682081,LA@1136@347,,SY16-17,,254,0.977142269,Middle,,,,,,,,Acadia Parish
1137,Crowley High School,347,Acadia Parish School Board,LA,Crowley,70526,263 Hensgens Rd,,[7-12],,Y,,,,,,,,654,,636,0,,74246,0,1737,,30373,0,723,,,173,173,,,,,,,,,LA,74246,429.167630058,30373,175.566473988,LA@1137@347,,SY16-17,,636,0.977139623,Other,,,,,,,,Acadia Parish
1138,Crowley Kindergarten School,347,Acadia Parish School Board,LA,Crowley,70526,1119 N Parkerson Ave,,[PK K],,Y,,,,,,,,290,,282,0,,41875,0,961,,28905,0,668,,,173,173,,,,,,,,,LA,41875,242.052023121,28905,167.080924855,LA@1138@347,,SY16-17,,282,0.977565599,Primary,,,,,,,,Acadia Parish
1139,Crowley Middle School,347,Acadia Parish School Board,LA,Crowley,70526,401 W Northern Ave,,[6-8],,Y,,,,,,,,502,,488,0,,74011,0,1741,,43418,0,1017,,,173,173,,,,,,,,,LA,74011,427.809248555,43418,250.971098266,LA@1139@347,,SY16-17,,488,0.977017108,Middle,,,,,,,,Acadia Parish
1140,Egan Elementary School,347,Acadia Parish School Board,LA,Egan,70531,PO Box 219,,[PK K 1-8],,N,,,,,,,,240,,168,9,,20863,1010,9981,,6537,271,828,,,173,172,,,,,,,,,LA,21873,127.168604651,6808,39.352601156,LA@1140@347,,SY16-17,,177,0.7375,Other,,,,,,,,Acadia Parish
1141,Estherwood Elementary School,347,Acadia Parish School Board,LA,Estherwood,70534,General Delivery,,[PK K 1-7],,Y,,,,,,,,256,,249,0,,33655,0,779,,23671,0,543,,,148,148,,,,,,,,,LA,33655,227.398648649,23671,159.939189189,LA@1141@347,,SY16-17,,249,0.977377011,Other,,,,,,,,Acadia Parish
