ISP,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,County,District ID,District Name,School ID,School Name,School Level-Original,Street Address-Line 1,City,State-Physical,Zip Code,CEP (Y/N),Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Delivery Model from State Agency Tracking-Original
,,,,,,,,,,,,,,,,,,,,,,LA,52989,301.073863636,43379,246.471590909,LA@1131@347,,SY18-19,,345,1,Middle,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1131,Armstrong Middle School,[6-8],700 Martin Luther King Dr,Rayne,LA,70578,Y,345,345,0,43379,0,0,176,52989,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,41107,233.5625,9385,53.323863636,LA@1132@347,,SY18-19,,280,1,Middle,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1132,Branch Elementary School,[PK K 1-8],PO Box 450,Branch,LA,70516,Y,280,280,0,9385,0,0,176,41107,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,34451,195.744318182,28261,160.573863636,LA@1133@347,,SY18-19,,219,1,Primary,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1133,Central Rayne Kindergarten School,[PK K],507 N Polk St,Rayne,LA,70578,Y,219,219,0,28261,0,0,176,34451,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,93576,531.681818182,61142,347.397727273,LA@1134@347,,SY18-19,,600,1,Primary,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1134,Church Point Elementary School,[PK K 1-5],415 E Lougarre St,Church Point,LA,70525,Y,600,600,0,61142,0,0,176,93576,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,48156,273.613636364,15776,89.636363636,LA@1135@347,,SY18-19,,526,1,High,,,,,GNG,,,Acadia Parish,347,Acadia Parish School Board,1135,Church Point High School,[8-12],305 E Lougarre St,Church Point,LA,70525,Y,526,526,0,15776,0,0,176,48156,0,0,176,GRABGO
,,,,,,,,,,,,,,,,,,,,,,LA,44402,252.284090909,30825,175.142045455,LA@1136@347,,SY18-19,,285,1,Middle,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1136,Church Point Middle School,[6-8],340 Martin Luther King Dr,Church Point,LA,70525,Y,285,285,0,30825,0,0,176,44402,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,70937,403.051136364,28678,162.943181818,LA@1137@347,,SY18-19,,611,1,Middle/High,,,,,GNG,,,Acadia Parish,347,Acadia Parish School Board,1137,Crowley High School,[7-12],263 Hensgens Rd,Crowley,LA,70526,Y,611,611,0,28678,0,0,176,70937,0,0,176,GRABGO
,,,,,,,,,,,,,,,,,,,,,,LA,37273,211.778409091,28435,161.5625,LA@1138@347,,SY18-19,,244,1,Primary,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1138,Crowley Kindergarten School,[PK K],1119 N Parkerson Ave,Crowley,LA,70526,Y,244,244,0,28435,0,0,176,37273,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,80018,454.647727273,33678,191.352272727,LA@1139@347,,SY18-19,,501,1,Middle,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1139,Crowley Middle School,[6-8],401 W Northern Ave,Crowley,LA,70526,Y,501,501,0,33678,0,0,176,80018,0,0,176,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,33317,190.382857143,13907,79.017045455,LA@1140@347,,SY18-19,,246,1,Middle,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1140,Egan Elementary School,[PK K 1-8],PO Box 219,Egan,LA,70531,Y,246,246,0,13907,0,0,176,33317,0,0,175,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,31544,207.526315789,21695,142.730263158,LA@1141@347,,SY18-19,,244,1,Middle,,,,,,,,Acadia Parish,347,Acadia Parish School Board,1141,Estherwood Elementary School,[PK K 1-7],General Delivery,Estherwood,LA,70534,Y,244,244,0,21695,0,0,152,31544,0,0,152,N/A
,,,,,,,,,,,,,,,,,,,,,,LA,30898,175.556818182,17424,99,LA@1142@347,,SY18-19,,232,1,Middle,,,,,BIC,,,Acadia Parish,347,Acadia Parish School Board,1142,Evangeline Elementary School,[PK K 1-8],1448 Old Evangeline Hwy,Evangeline,LA,70537,Y,232,232,0,17424,0,0,176,30898,0,0,176,CLASSRM
,,,,,,,,,,,,,,,,,,,,,,LA,91878,522.034090909,53058,301.465909091,LA@1143@347,,SY18-19,,612,1,Primary,,,,,BIC,,,Acadia Parish,347,Acadia Parish School Board,1143,Iota Elementary School,[PK K 1-5],470 W Kennedy,Iota,LA,70543,Y,612,612,0,53058,0,0,176,91878,0,0,176,CLASSRM
